component_id,lot_id,device_type,temperature_C,parameter_name,unit,value_0h,value_24h,value_96h,value_168h,outcome,failure_time_h,behavior_class_synthetic_only,data_source
C00511,L003,generic_semiconductor_v0,125,leakage_current,uA,23.23,27.319,37.278,51.455,fail,168,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00115,L001,generic_semiconductor_v0,85,leakage_current,uA,22.756,20.278,25.097,24.839,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00151,L001,generic_semiconductor_v0,125,leakage_current,uA,20.945,22.676,54.865,111.014,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00298,L002,generic_semiconductor_v0,85,leakage_current,uA,19.219,18.97,21.096,21.715,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00444,L003,generic_semiconductor_v0,85,leakage_current,uA,15.946,20.586,51.031,110.2,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00512,L003,generic_semiconductor_v0,125,leakage_current,uA,24.53,25.305,26.959,27.429,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00305,L002,generic_semiconductor_v0,125,leakage_current,uA,34.819,39.211,98.18,205.52,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00372,L003,generic_semiconductor_v0,25,leakage_current,uA,8.127,14.43,15.351,15.09,monitor,,stable_unusual,synthetic_draft_v0_pending_minitab_grounding
C00382,L003,generic_semiconductor_v0,25,leakage_current,uA,6.71,6.949,7.293,8.09,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00350,L002,generic_semiconductor_v0,125,leakage_current,uA,24.495,24.905,26.725,25.72,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00407,L003,generic_semiconductor_v0,25,leakage_current,uA,9.208,9.493,10.162,11.332,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00045,L001,generic_semiconductor_v0,25,leakage_current,uA,8.046,8.165,9.937,10.978,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00362,L003,generic_semiconductor_v0,25,leakage_current,uA,7.423,7.233,7.776,8.504,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00162,L001,generic_semiconductor_v0,125,leakage_current,uA,42.559,48.888,72.734,100.263,fail,96,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00379,L003,generic_semiconductor_v0,25,leakage_current,uA,10.225,10.723,11.296,11.657,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00300,L002,generic_semiconductor_v0,85,leakage_current,uA,15.338,15.651,16.622,17.725,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00385,L003,generic_semiconductor_v0,25,leakage_current,uA,7.525,7.608,8.162,8.288,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00061,L001,generic_semiconductor_v0,85,leakage_current,uA,20.027,98.696,102.621,95.772,fail,24,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00020,L001,generic_semiconductor_v0,25,leakage_current,uA,8.33,8.23,8.551,8.672,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00148,L001,generic_semiconductor_v0,125,leakage_current,uA,25.411,31.04,45.761,58.152,fail,168,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00402,L003,generic_semiconductor_v0,25,leakage_current,uA,7.095,17.712,18.085,17.8,monitor,,stable_unusual,synthetic_draft_v0_pending_minitab_grounding
C00002,L001,generic_semiconductor_v0,25,leakage_current,uA,8.014,8.041,8.202,8.409,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00122,L001,generic_semiconductor_v0,125,leakage_current,uA,24.319,25.68,27.28,27.992,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00189,L002,generic_semiconductor_v0,25,leakage_current,uA,7.482,6.736,7.368,9.178,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00003,L001,generic_semiconductor_v0,25,leakage_current,uA,9.245,9.46,9.111,9.63,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00342,L002,generic_semiconductor_v0,125,leakage_current,uA,23.229,24.249,36.5,50.047,fail,168,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00219,L002,generic_semiconductor_v0,25,leakage_current,uA,7.476,7.312,8.338,9.023,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00347,L002,generic_semiconductor_v0,125,leakage_current,uA,25.562,26.568,24.645,27.806,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00222,L002,generic_semiconductor_v0,25,leakage_current,uA,7.052,6.337,7.889,9.866,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00109,L001,generic_semiconductor_v0,85,leakage_current,uA,16.798,17.596,19.031,19.929,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00271,L002,generic_semiconductor_v0,85,leakage_current,uA,13.071,15.101,20.886,27.057,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00323,L002,generic_semiconductor_v0,125,leakage_current,uA,29.871,30.77,30.289,34.178,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00290,L002,generic_semiconductor_v0,85,leakage_current,uA,15.363,14.48,69.328,23.005,fail,96,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00171,L001,generic_semiconductor_v0,125,leakage_current,uA,35.91,38.258,39.894,41.216,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00413,L003,generic_semiconductor_v0,25,leakage_current,uA,10.945,22.336,21.662,22.484,monitor,,stable_unusual,synthetic_draft_v0_pending_minitab_grounding
C00348,L002,generic_semiconductor_v0,125,leakage_current,uA,16.468,16.648,17.342,18.079,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00031,L001,generic_semiconductor_v0,25,leakage_current,uA,8.733,8.765,9.084,9.512,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00257,L002,generic_semiconductor_v0,85,leakage_current,uA,17.119,18.532,17.112,19.505,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00056,L001,generic_semiconductor_v0,25,leakage_current,uA,9.881,10.822,29.972,66.081,fail,168,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00330,L002,generic_semiconductor_v0,125,leakage_current,uA,27.085,28.053,28.718,29.051,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00182,L002,generic_semiconductor_v0,25,leakage_current,uA,9.362,9.806,10.466,10.412,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00299,L002,generic_semiconductor_v0,85,leakage_current,uA,15.153,16.196,16.307,17.156,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00184,L002,generic_semiconductor_v0,25,leakage_current,uA,7.54,7.506,8.279,8.094,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00254,L002,generic_semiconductor_v0,85,leakage_current,uA,15.807,16.985,16.314,17.868,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00206,L002,generic_semiconductor_v0,25,leakage_current,uA,7.201,7.51,7.792,8.659,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00465,L003,generic_semiconductor_v0,85,leakage_current,uA,17.584,18.402,18.958,20.87,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00077,L001,generic_semiconductor_v0,85,leakage_current,uA,17.678,17.726,18.095,18.626,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00114,L001,generic_semiconductor_v0,85,leakage_current,uA,17.965,17.328,17.736,17.92,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00514,L003,generic_semiconductor_v0,125,leakage_current,uA,23.985,25.919,26.092,26.89,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00457,L003,generic_semiconductor_v0,85,leakage_current,uA,21.144,21.969,22.01,23.421,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00508,L003,generic_semiconductor_v0,125,leakage_current,uA,24.912,24.427,25.894,25.439,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00276,L002,generic_semiconductor_v0,85,leakage_current,uA,17.538,18.754,19.425,20.403,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00199,L002,generic_semiconductor_v0,25,leakage_current,uA,10.662,10.989,11.326,11.896,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00484,L003,generic_semiconductor_v0,125,leakage_current,uA,22.184,21.567,23.985,25.675,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00260,L002,generic_semiconductor_v0,85,leakage_current,uA,19.965,20.037,21.734,22.368,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00495,L003,generic_semiconductor_v0,125,leakage_current,uA,32.102,33.1,34.453,32.594,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00055,L001,generic_semiconductor_v0,25,leakage_current,uA,6.475,6.437,6.893,7.322,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00266,L002,generic_semiconductor_v0,85,leakage_current,uA,16.045,16.856,17.02,17.757,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00313,L002,generic_semiconductor_v0,125,leakage_current,uA,30.236,31.203,33.018,36.706,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00059,L001,generic_semiconductor_v0,25,leakage_current,uA,6.98,6.978,7.633,8.13,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00249,L002,generic_semiconductor_v0,85,leakage_current,uA,17.714,73.23,71.267,66.169,fail,24,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00155,L001,generic_semiconductor_v0,125,leakage_current,uA,28.388,27.984,30.137,36.277,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00517,L003,generic_semiconductor_v0,125,leakage_current,uA,21.924,21.274,22.869,24.029,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00233,L002,generic_semiconductor_v0,25,leakage_current,uA,8.809,10.35,8.713,10.007,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00467,L003,generic_semiconductor_v0,85,leakage_current,uA,17.375,17.44,18.333,18.885,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00103,L001,generic_semiconductor_v0,85,leakage_current,uA,19.282,18.29,20.575,19.898,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00307,L002,generic_semiconductor_v0,125,leakage_current,uA,22.501,23.301,24.898,23.612,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00104,L001,generic_semiconductor_v0,85,leakage_current,uA,16.911,21.939,31.706,41.673,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00370,L003,generic_semiconductor_v0,25,leakage_current,uA,7.011,15.272,14.829,14.585,monitor,,stable_unusual,synthetic_draft_v0_pending_minitab_grounding
C00072,L001,generic_semiconductor_v0,85,leakage_current,uA,19.482,21.947,32.272,43.502,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00023,L001,generic_semiconductor_v0,25,leakage_current,uA,7.654,7.522,7.765,9.063,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00526,L003,generic_semiconductor_v0,125,leakage_current,uA,22.484,17.733,24.655,26.798,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00337,L002,generic_semiconductor_v0,125,leakage_current,uA,20.191,20.122,22.38,23.047,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00032,L001,generic_semiconductor_v0,25,leakage_current,uA,7.091,7.609,8.182,8.141,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00085,L001,generic_semiconductor_v0,85,leakage_current,uA,13.654,13.868,13.764,15.659,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00293,L002,generic_semiconductor_v0,85,leakage_current,uA,22.294,23.013,23.9,25.405,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00272,L002,generic_semiconductor_v0,85,leakage_current,uA,19.587,20.696,22.182,23.493,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00284,L002,generic_semiconductor_v0,85,leakage_current,uA,13.64,13.773,15.009,15.5,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00537,L003,generic_semiconductor_v0,125,leakage_current,uA,19.416,20.024,20.623,21.108,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00174,L001,generic_semiconductor_v0,125,leakage_current,uA,28.191,26.297,31.781,26.998,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00030,L001,generic_semiconductor_v0,25,leakage_current,uA,8.419,33.432,10.317,12.785,monitor,,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00132,L001,generic_semiconductor_v0,125,leakage_current,uA,21.363,24.209,32.165,40.132,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00452,L003,generic_semiconductor_v0,85,leakage_current,uA,13.02,13.838,13.054,13.329,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00168,L001,generic_semiconductor_v0,125,leakage_current,uA,19.503,19.445,20.319,21.685,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00067,L001,generic_semiconductor_v0,85,leakage_current,uA,17.666,18.01,18.219,22.085,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00152,L001,generic_semiconductor_v0,125,leakage_current,uA,25.491,26.534,27.923,28.321,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00124,L001,generic_semiconductor_v0,125,leakage_current,uA,17.834,18.247,20.312,21.49,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00039,L001,generic_semiconductor_v0,25,leakage_current,uA,8.36,9.039,8.75,10.138,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00131,L001,generic_semiconductor_v0,125,leakage_current,uA,32.185,37.903,134.493,47.937,fail,96,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00456,L003,generic_semiconductor_v0,85,leakage_current,uA,14.062,15.208,14.181,17.933,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00141,L001,generic_semiconductor_v0,125,leakage_current,uA,18.224,18.443,19.279,20.463,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00418,L003,generic_semiconductor_v0,25,leakage_current,uA,7.566,7.198,7.989,7.7,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00190,L002,generic_semiconductor_v0,25,leakage_current,uA,8.398,9.371,12.617,15.853,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00069,L001,generic_semiconductor_v0,85,leakage_current,uA,16.716,20.291,27.435,38.814,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00441,L003,generic_semiconductor_v0,85,leakage_current,uA,19.448,22.689,20.544,20.822,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00490,L003,generic_semiconductor_v0,125,leakage_current,uA,23.565,23.406,26.011,27.108,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00287,L002,generic_semiconductor_v0,85,leakage_current,uA,13.561,16.187,43.147,94.861,fail,168,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00302,L002,generic_semiconductor_v0,125,leakage_current,uA,34.575,35.27,37.668,38.073,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00259,L002,generic_semiconductor_v0,85,leakage_current,uA,15.342,17.044,23.7,28.104,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00285,L002,generic_semiconductor_v0,85,leakage_current,uA,15.916,16.13,17.383,17.051,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00538,L003,generic_semiconductor_v0,125,leakage_current,uA,20.804,22.057,23.613,24.34,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00329,L002,generic_semiconductor_v0,125,leakage_current,uA,27.795,85.715,88.775,92.985,fail,24,sudden_spike,synthetic_draft_v0_pending_minitab_grounding
C00461,L003,generic_semiconductor_v0,85,leakage_current,uA,11.44,11.684,12.554,14.255,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00498,L003,generic_semiconductor_v0,125,leakage_current,uA,19.369,22.824,19.18,21.215,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00019,L001,generic_semiconductor_v0,25,leakage_current,uA,9.813,9.832,10.178,11.151,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00520,L003,generic_semiconductor_v0,125,leakage_current,uA,25.674,29.584,41.14,52.638,fail,168,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00209,L002,generic_semiconductor_v0,25,leakage_current,uA,11.256,10.813,11.882,11.98,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00013,L001,generic_semiconductor_v0,25,leakage_current,uA,8.458,7.991,8.683,9.147,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00066,L001,generic_semiconductor_v0,85,leakage_current,uA,14.15,14.366,15.093,16.162,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00311,L002,generic_semiconductor_v0,125,leakage_current,uA,29.736,31.846,33.05,32.305,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00208,L002,generic_semiconductor_v0,25,leakage_current,uA,8.414,8.486,8.761,9.171,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00521,L003,generic_semiconductor_v0,125,leakage_current,uA,22.635,21.867,25.428,29.554,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00466,L003,generic_semiconductor_v0,85,leakage_current,uA,14.489,17.968,24.731,32.84,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00295,L002,generic_semiconductor_v0,85,leakage_current,uA,17.724,18.042,19.248,18.114,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00334,L002,generic_semiconductor_v0,125,leakage_current,uA,24.246,23.487,27.64,28.437,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00375,L003,generic_semiconductor_v0,25,leakage_current,uA,9.644,9.702,10.623,11.439,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00215,L002,generic_semiconductor_v0,25,leakage_current,uA,7.286,8.04,12.428,16.28,monitor,,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00237,L002,generic_semiconductor_v0,25,leakage_current,uA,9.6,9.824,10.531,11.238,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00052,L001,generic_semiconductor_v0,25,leakage_current,uA,9.316,11.447,27.449,61.021,fail,168,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00009,L001,generic_semiconductor_v0,25,leakage_current,uA,9.363,10.858,18.263,34.848,investigate,,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00315,L002,generic_semiconductor_v0,125,leakage_current,uA,20.596,20.337,21.549,22.349,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00034,L001,generic_semiconductor_v0,25,leakage_current,uA,8.183,7.717,8.729,8.794,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00332,L002,generic_semiconductor_v0,125,leakage_current,uA,27.944,27.043,36.335,34.195,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00411,L003,generic_semiconductor_v0,25,leakage_current,uA,10.923,11.408,11.842,11.79,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00404,L003,generic_semiconductor_v0,25,leakage_current,uA,6.983,7.136,7.379,7.827,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00025,L001,generic_semiconductor_v0,25,leakage_current,uA,7.048,7.946,7.834,8.269,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00308,L002,generic_semiconductor_v0,125,leakage_current,uA,25.249,23.525,121.012,36.337,fail,96,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00355,L002,generic_semiconductor_v0,125,leakage_current,uA,27.891,27.463,29.167,30.3,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00105,L001,generic_semiconductor_v0,85,leakage_current,uA,13.197,13.713,14.195,14.42,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00251,L002,generic_semiconductor_v0,85,leakage_current,uA,15.422,16.012,39.517,84.762,fail,168,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00073,L001,generic_semiconductor_v0,85,leakage_current,uA,17.639,18.196,19.234,21.065,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00157,L001,generic_semiconductor_v0,125,leakage_current,uA,27.296,26.394,28.673,31.265,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00193,L002,generic_semiconductor_v0,25,leakage_current,uA,9.358,9.817,10.043,10.739,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00197,L002,generic_semiconductor_v0,25,leakage_current,uA,7.623,8.689,7.145,8.089,pass,,noisy_healthy,synthetic_draft_v0_pending_minitab_grounding
C00320,L002,generic_semiconductor_v0,125,leakage_current,uA,33.174,37.859,50.698,63.905,fail,96,slow_drift,synthetic_draft_v0_pending_minitab_grounding
C00366,L003,generic_semiconductor_v0,25,leakage_current,uA,9.133,9.601,9.742,10.561,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00524,L003,generic_semiconductor_v0,125,leakage_current,uA,27.394,26.587,107.629,39.639,fail,96,spike_recovery,synthetic_draft_v0_pending_minitab_grounding
C00100,L001,generic_semiconductor_v0,85,leakage_current,uA,18.885,18.79,20.695,22.101,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00248,L002,generic_semiconductor_v0,85,leakage_current,uA,17.304,17.377,18.225,20.7,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00169,L001,generic_semiconductor_v0,125,leakage_current,uA,23.967,31.277,55.538,113.413,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00312,L002,generic_semiconductor_v0,125,leakage_current,uA,38.267,37.787,41.592,41.884,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00493,L003,generic_semiconductor_v0,125,leakage_current,uA,33.082,34.371,36.678,39.009,pass,,healthy,synthetic_draft_v0_pending_minitab_grounding
C00540,L003,generic_semiconductor_v0,125,leakage_current,uA,24.906,27.391,61.13,127.808,fail,96,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
C00435,L003,generic_semiconductor_v0,85,leakage_current,uA,12.825,13.933,25.817,49.943,fail,121.7,accelerating_drift,synthetic_draft_v0_pending_minitab_grounding
